begin_day,year,month,cz_type,damage_property,event_type_debris flow,event_type_dense fog,event_type_flash flood,event_type_flood,event_type_hail,event_type_heavy rain,event_type_heavy snow,event_type_high surf,event_type_high wind,event_type_lightning,event_type_strong wind,event_type_thunderstorm wind,event_type_wildfire,event_type_winter storm,event_type_winter weather,begin_azimuth_ene,begin_azimuth_ese,begin_azimuth_n,begin_azimuth_ne,begin_azimuth_nne,begin_azimuth_nnw,begin_azimuth_nw,begin_azimuth_s,begin_azimuth_se,begin_azimuth_sse,begin_azimuth_ssw,begin_azimuth_sw,begin_azimuth_w,begin_azimuth_wnw,begin_azimuth_wsw,begin_hour_of_day,end_hour_of_day,time_of_day_evening,time_of_day_morning,day_of_week_monday,day_of_week_saturday,day_of_week_sunday,day_of_week_thursday,day_of_week_tuesday,day_of_week_wednesday,lat,lon,county_name,land_area,county_households,humidity,dew_point,wind_direction,wind_speed,air_pressure,precipitation,temperature,duration_hours,property_damage_per_capita,population_density,coast_distance
29,2014,1,Z,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,0,0,0,0,0,1,38.7829,-120.3423,El Dorado,1708,88861.0,0.7844897959183673,32.36,161.42857142857142,5.320964726530609,1013.5173913043476,52.4,38.65632653061224,48.0,5.461257836904996e-06,107.20608899297424,287.523122628065
29,2014,1,Z,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,0,0,0,0,0,1,38.7829,-120.3423,Nevada,958,53117.0,0.7844897959183673,32.36,161.42857142857142,5.320964726530609,1013.5173913043476,52.4,38.65632653061224,48.0,1.0144868725398693e-05,102.89352818371607,287.523122628065
29,2014,1,Z,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,0,0,0,0,0,1,38.7829,-120.3423,Placer,1407,157421.0,0.7844897959183673,32.36,161.42857142857142,5.320964726530609,1013.5173913043476,52.4,38.65632653061224,48.0,2.708434335363756e-06,262.4143567874911,287.523122628065
29,2014,1,Z,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,0,0,0,0,0,1,38.7829,-120.3423,Sierra,953,2343.0,0.7844897959183673,32.36,161.42857142857142,5.320964726530609,1013.5173913043476,52.4,38.65632653061224,48.0,0.00033647375504710633,3.1185729275970617,287.523122628065
29,2014,1,Z,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,0,0,0,0,0,1,38.7829,-120.3423,Tuolumne,2221,31370.0,0.7844897959183673,32.36,161.42857142857142,5.320964726530609,1013.5173913043476,52.4,38.65632653061224,48.0,1.8569757293272177e-05,24.24628545700135,287.523122628065
29,2014,1,Z,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,0,0,0,0,0,1,38.7829,-120.3423,Yuba,632,28001.0,0.7844897959183673,32.36,161.42857142857142,5.320964726530609,1013.5173913043476,52.4,38.65632653061224,48.0,1.3599336352386003e-05,116.3496835443038,287.523122628065
16,2014,1,Z,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,0,1,0,0,0,1,0,0,34.0657,-117.9738,Los Angeles,4060,3488796.0,0.4080952380952381,30.100259740259737,196.04651162790697,2.3604131705128197,1018.732905982906,0.0,60.00738197424892,233.0,9.960087935624367e-08,2472.9241379310347,23.554631031957744
24,2014,1,Z,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,36.9757,-121.9005,Santa Cruz,445,105247.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,0.0,3.6919305474025424e-06,608.676404494382,177.1264721346429
30,2014,1,C,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,0,0,0,1,0,0,37.7581,-121.041,Amador,595,18239.0,0.7145833333333332,46.220000000000006,289.1666666666667,6.532162637500001,1011.6041666666666,10.999999999999998,55.91,24.0,2.722866633992267e-05,61.72436974789916,217.47524813077075
30,2014,1,C,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,0,0,0,1,0,0,37.7581,-121.041,Calaveras,1020,28079.0,0.7145833333333332,46.220000000000006,289.1666666666667,6.532162637500001,1011.6041666666666,10.999999999999998,55.91,24.0,2.238588793624499e-05,43.79509803921569,217.47524813077075
30,2014,1,C,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,0,0,0,1,0,0,37.7581,-121.041,San Joaquin,1392,237422.0,0.7145833333333332,46.220000000000006,289.1666666666667,6.532162637500001,1011.6041666666666,10.999999999999998,55.91,24.0,1.4053253398428004e-06,511.19181034482756,217.47524813077075
30,2014,1,C,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,0,0,0,1,0,0,37.7581,-121.041,Stanislaus,1496,180317.0,0.7145833333333332,46.220000000000006,289.1666666666667,6.532162637500001,1011.6041666666666,10.999999999999998,55.91,24.0,1.8938855903714856e-06,352.95120320855614,217.47524813077075
30,2014,1,C,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,0,0,0,1,0,0,37.7581,-121.041,Tuolumne,2221,31370.0,0.7145833333333332,46.220000000000006,289.1666666666667,6.532162637500001,1011.6041666666666,10.999999999999998,55.91,24.0,1.8569757293272177e-05,24.24628545700135,217.47524813077075
30,2014,1,C,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,1,0,0,0,1,0,0,32.9783,-117.2367,San Diego,4210,1187506.0,0.8433333333333333,52.2875,172.91666666666666,5.49913335,1013.1166666666667,1.9000000000000001,57.012499999999996,24.0,3.0779866396911915e-07,771.7047505938242,2.4452958566052696
30,2014,1,Z,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,1,0,0,38.9481,-119.9683,Alpine,738,1764.0,0.8184615384615384,35.28153846153846,165.83333333333334,6.447919069230769,1011.2307692307693,27.8,40.40461538461538,12.0,0.000925925925925926,1.4634146341463414,300.73336894754556
30,2014,1,Z,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,1,0,0,38.9481,-119.9683,El Dorado,1708,88861.0,0.8184615384615384,35.28153846153846,165.83333333333334,6.447919069230769,1011.2307692307693,27.8,40.40461538461538,12.0,5.461257836904996e-06,107.20608899297424,300.73336894754556
30,2014,1,Z,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,1,0,0,38.9481,-119.9683,Nevada,958,53117.0,0.8184615384615384,35.28153846153846,165.83333333333334,6.447919069230769,1011.2307692307693,27.8,40.40461538461538,12.0,1.0144868725398693e-05,102.89352818371607,300.73336894754556
30,2014,1,Z,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,1,0,0,38.9481,-119.9683,Placer,1407,157421.0,0.8184615384615384,35.28153846153846,165.83333333333334,6.447919069230769,1011.2307692307693,27.8,40.40461538461538,12.0,2.708434335363756e-06,262.4143567874911,300.73336894754556
30,2014,1,Z,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,37.939,-118.8867,Mono,3049,14003.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,22.0,7.075137965190322e-05,4.635618235487045,246.41725345988988
31,2014,3,Z,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,1,0,0,0,0,0,41.5425,-121.8967,Siskiyou,6279,24035.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,14.0,2.3074438137431354e-05,6.902054467271858,482.6810737136098
31,2014,3,Z,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,1,0,0,0,0,0,41.2704,-122.1846,Siskiyou,6279,24035.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,14.0,2.3074438137431354e-05,6.902054467271858,466.6807799200366
31,2014,3,Z,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,1,1,0,0,0,0,0,41.5562,-123.1641,Siskiyou,6279,24035.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,10.0,2.3074438137431354e-05,6.902054467271858,498.0725312617663
7,2014,2,Z,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40.1971,-121.3501,Butte,1636,97517.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,23.0,4.4739526476851765e-06,136.6234718826406,386.8140068352287
7,2014,2,Z,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40.1971,-121.3501,Lassen,4541,12740.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,23.0,3.158160687215766e-05,6.972913455186083,386.8140068352287
7,2014,2,Z,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40.1971,-121.3501,Plumas,2553,15698.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,23.0,5.369992482010525e-05,7.294163728946337,386.8140068352287
